MonitoringLocationIdentifier,MLD,SSH,SSS^2,U,V,Rrs_412,Rrs_443,Rrs_488,Rrs_555,Rrs_667,SST,POC,KD490,ln_CHL,SST_x_cos_Longitude,SST_x_cos_Latitude,lg_DIN
566,10.30283236,0.282311003,-780.2931198,0.089405921,0.112002437,0.003950649,0.005063203,0.006389178,0.008761716,0.003906206,28.29912241,416.6631438,0.724649379,2.098714213,-15.41280672,24.19325568,-1.443697498
566,10.42041984,0.339281024,-788.8924593,0.06651556,0.056126448,0.004531653,0.005278749,0.006471927,0.007388162,0.002890533,27.85812717,298.9800483,0.303429151,1.31836372,-15.1726235,23.81624361,-1.283996656
566,10.19954273,0.299790369,-741.3654772,0.07128118,0.057237736,0.003546193,0.004195398,0.005258993,0.006393114,0.002813872,28.86916097,302.8961414,0.309007788,1.374733493,-15.72327197,24.68058841,-0.739928612
566,10.37949841,0.271089658,-892.2901523,0.042058352,0.102395269,0.004910769,0.005453993,0.006592063,0.007461969,0.002924546,28.63736301,282.8814743,0.294393189,1.271470094,-15.59702576,24.48242158,-0.735182177
566,11.85932572,0.369222689,-700.5142157,0.017761871,-0.021279142,0.005323082,0.006051474,0.00736496,0.008098501,0.003463061,27.3747779,268.9834355,0.244870673,1.101575349,-14.90937262,23.40302258,-0.705533774
566,10.18499837,0.275360277,-779.2372912,0.075965944,0.05950074,0.004857612,0.005583647,0.006815186,0.008308497,0.003580482,29.13407444,325.3829787,0.346842778,1.450928601,-15.86755419,24.90706608,-0.539102157
567,10.28585907,0.263734947,-876.2977928,0.032533037,0.09100324,0.004750507,0.005289216,0.006397536,0.007178059,0.002738334,28.51273939,280.8263826,0.289580913,1.251781762,-15.52915087,24.29028176,-0.705533774
567,10.20357627,0.299342252,-708.9810964,0.057220931,0.048249814,0.00334649,0.003947342,0.004992368,0.006200646,0.002545668,28.8385281,312.1804503,0.322679075,1.421472603,-15.70658812,24.56782436,-0.692503962
567,11.59321297,0.361960731,-690.1354787,0.011114036,-0.030863944,0.006078246,0.006888591,0.008351455,0.009090954,0.003665807,27.34880744,270.0357719,0.240889647,1.080430652,-14.89522809,23.29871674,-0.663540266
568,11.43045395,0.32065747,-1093.932188,0.070452996,0.096528011,0.003517523,0.003412236,0.003522782,0.002291298,0.000502561,28.85502794,164.1627831,0.123680889,0.239119396,-16.13552685,24.73617984,-0.876148359
568,10.72395042,0.32735374,-1048.490006,0.107666249,0.0598234,0.003148203,0.003342417,0.003686235,0.002915616,0.00061629,29.57295058,194.483846,0.153590533,0.57366152,-16.5369841,25.35162418,-0.838631997
568,15.26281596,0.375337484,-1035.265695,0.053676972,0.045692312,0.003986602,0.004166893,0.004715633,0.003871594,0.00111227,27.46259393,193.647836,0.133274631,0.415143183,-15.35688764,23.54250579,-0.749579997
569,12.12976528,0.382122013,-1092.639186,0.094361278,0.051523057,0.004467987,0.004563411,0.004626841,0.002546948,0.000402441,27.8145362,132.2708198,0.085098611,-0.26430941,-15.95376255,23.84171091,-1.744727492
569,10.9017004,0.327136936,-1058.395271,0.119753654,0.034096744,0.003455195,0.00359478,0.003569116,0.00202913,0.000336589,29.65401544,127.7979872,0.084544526,-0.332273538,-17.0088445,25.41845237,-1.522878744
569,10.81429539,0.332200567,-984.2676338,0.099369243,0.07538023,0.002251189,0.002715754,0.002834649,0.002524181,0.000628104,29.01038276,205.4333225,0.163970656,0.694716332,-16.63967196,24.86675148,-1.327902141
569,12.05212619,0.338107486,-1091.048134,0.055977294,0.055934324,0.003650719,0.00360644,0.003635955,0.001981907,0.000387345,28.72699653,127.5783827,0.084644702,-0.344856868,-16.4771283,24.62384207,-1
569,10.91171047,0.350518021,-1093.672918,0.089113071,0.035384869,0.003791509,0.003853734,0.003994576,0.002523192,0.000458099,29.97854275,146.1191813,0.100959109,-0.005526527,-17.19498572,25.69662657,-0.954677021
570,8.513018946,0.598448522,-126.8396236,0.037352262,-0.117660822,0.015166,0.017943064,0.021323381,0.02536869,0.017318794,21.54115392,325.2987597,0.252536195,1.281489631,-11.13959826,18.31163053,-0.066512712
570,8.13452957,0.334399087,-123.5217362,0.035957985,0.050918039,0.008918609,0.010882906,0.014137655,0.018623173,0.009814126,30.68457123,388.5994451,0.362267753,1.619897495,-15.8679427,26.08423548,0.115610512
570,8.147245616,0.301066592,-149.0192461,-0.001454117,0.062547984,0.009431425,0.011296,0.014329367,0.018263868,0.0094736,29.98239753,365.8023841,0.30551486,1.475103321,-15.50482692,25.48733406,0.136720567
570,8.265430046,0.469299875,-81.62901254,0.037546743,-0.077825191,0.012567457,0.015450503,0.019047346,0.023339156,0.014950293,20.86979692,373.0084821,0.32208727,1.495686166,-10.79241875,17.74092566,0.163161375
570,8.113585494,0.228501355,-160.8093213,0.009631283,0.093599072,0.010634894,0.013267443,0.017210522,0.020476976,0.009242723,22.27558027,346.6520657,0.271407341,1.315703012,-11.51939288,18.93594917,0.184123354
570,8.408298565,0.506363408,-122.0472222,0.040389153,-0.048072636,0.014389002,0.017045234,0.020828362,0.024761356,0.015445799,23.22999431,324.5246445,0.241824161,1.234020807,-12.01294996,19.7472742,0.195346058
570,8.152481635,0.342108003,-122.9197552,-0.016240634,0.107829075,0.007943651,0.009039216,0.011220935,0.014536639,0.007859606,30.35762517,368.4297112,0.3866784,1.638572839,-15.69886876,25.80630629,0.244029589
570,8.113585494,0.167132223,-138.8007114,0.00011968,0.124736927,0.009608815,0.012278521,0.015963404,0.019686652,0.009126879,21.14723462,359.7940341,0.328610825,1.47418817,-10.93589038,17.97676896,0.246005904
571,8.200759868,0.330479333,-148.147785,0.041811604,0.045802677,0.008345603,0.010190603,0.013238349,0.017485214,0.009233257,30.40169732,386.4045543,0.369821297,1.632386832,-15.77158757,25.86610183,0.118925753
571,8.21383923,0.295046721,-190.4993888,0.003475373,0.051350818,0.009218653,0.011008376,0.013966052,0.01791996,0.009195965,29.80588322,365.7424569,0.315192177,1.50361389,-15.46249515,25.35917657,0.131297797
571,8.337781754,0.465719928,-105.8142663,0.029178186,-0.104545202,0.012695448,0.015623684,0.019240028,0.023559911,0.015281839,21.03821076,367.468782,0.312643395,1.469489277,-10.91406114,17.89954344,0.134495856
571,8.183943545,0.228609794,-195.6832235,0.017214931,0.089427952,0.010588609,0.013249837,0.017163987,0.020354712,0.009209235,22.04139014,343.6051075,0.264626835,1.293332157,-11.43448378,18.7530596,0.197280558
571,8.702758231,0.589025917,-154.3654763,0.030640583,-0.139358725,0.014629027,0.017447541,0.020919725,0.024935145,0.017625437,21.71823294,323.0011127,0.247369107,1.26089269,-11.26683846,18.47811386,0.201397124
571,8.516533032,0.50513614,-136.0663298,0.041574929,-0.072791005,0.014185572,0.016930892,0.020777822,0.024757741,0.015888768,23.29467567,323.7694036,0.240969922,1.230729432,-12.0846548,19.81936885,0.203576775
571,8.21944467,0.335631356,-161.7371537,-0.010005088,0.109032046,0.007076525,0.008027386,0.009981081,0.012972201,0.007169097,30.13900733,370.9196938,0.421107065,1.705157313,-15.63531103,25.64260226,0.23350376
571,8.183320719,0.167885435,-165.0202083,0.006445011,0.122684408,0.008931158,0.011444122,0.014938844,0.018398984,0.00837978,21.02995429,360.4451014,0.321450359,1.462836238,-10.90977791,17.89251874,0.251151343
